DELIVERY_DATE,DELIVERED_VOLUME,Facility_A,Facility_B,Facility_C,Facility_D,Facility_E,Facility_F,Facility_G,Facility_H,Facility_I,Facility_J,Facility_K
3/13/2019,,,,,1,,,,,,,
3/14/2019,,,,,8,,,,,,,
3/15/2019,,,1,,6,,,,,,,
3/18/2019,,,,,55,3,,45,86,,16,
3/19/2019,,13,,,3,9,80,243,80,,6,
3/20/2019,,275,32,51,37,322,60,264,111,,9,
3/21/2019,,213,39,151,89,265,57,309,78,,6,
3/22/2019,840,143,19,126,16,226,45,214,81,,5,
3/23/2019,,,3,95,,131,38,,,,,
3/24/2019,,,,,21,,,,,,,
3/25/2019,1694,213,,45,27,146,,366,126,,14,
3/26/2019,1183,202,,208,23,286,87,180,88,,19,
3/27/2019,905,172,,209,15,348,70,413,125,,8,
3/28/2019,682,226,25,184,27,286,54,290,89,,10,
3/29/2019,1463,158,45,175,19,123,53,286,96,,4,
3/30/2019,,,5,95,,218,53,,54,,,
3/31/2019,,,3,,19,,,,,,,
4/1/2019,1860,237,42,52,29,216,,438,67,,6,
4/2/2019,911,290,36,182,38,316,87,262,89,8,14,
4/3/2019,780,285,28,163,10,319,58,354,119,9,15,
4/4/2019,1213,261,15,195,21,300,64,330,123,10,8,
4/5/2019,1411,177,12,150,16,265,71,315,83,26,1,
4/6/2019,,1,,,,69,51,,3,,,
4/7/2019,,,,,,,,,,,,
4/8/2019,2003,247,29,157,25,157,,354,93,21,3,
4/9/2019,1077,321,,205,48,324,81,384,66,17,7,
4/10/2019,883,260,26,190,13,347,52,332,118,13,6,
4/11/2019,1073,241,46,223,38,311,93,286,124,7,16,
4/12/2019,1566,215,21,152,3,234,61,318,72,18,4,
4/13/2019,,,,,,209,61,,,,,
4/14/2019,,,,,,,,,,,,
4/15/2019,2042,262,23,161,55,156,,444,117,19,18,
4/16/2019,1033,320,36,229,38,335,71,394,62,12,13,
4/17/2019,907,265,69,196,15,333,69,338,128,16,14,
4/18/2019,1312,302,18,165,10,305,62,322,114,12,14,
4/19/2019,1307,194,14,198,37,296,72,391,104,11,6,
4/20/2019,,,,,,245,56,,,,,
4/21/2019,,,,,,,,,,,,
4/22/2019,2140,293,26,154,13,166,,307,65,23,22,
4/23/2019,1394,287,45,215,22,300,86,441,98,19,14,
4/24/2019,1030,288,38,189,24,361,97,341,132,11,9,
4/25/2019,862,264,25,175,21,326,60,330,118,20,17,
4/26/2019,1621,250,19,173,,240,46,308,111,19,8,
4/27/2019,,,,,,175,56,,,,,
4/28/2019,,,,,28,,,,,,,
4/29/2019,2047,245,23,113,35,179,,394,91,16,12,
4/30/2019,1531,267,35,263,43,345,102,312,94,16,2,
5/1/2019,857,278,47,217,59,344,84,316,102,11,15,
5/2/2019,1070,292,32,40,41,253,50,334,120,16,16,
5/3/2019,1511,229,17,321,59,239,61,228,125,23,1,
5/4/2019,,,,,,193,39,,,,,
5/5/2019,,,,,,,,,,,,
5/6/2019,2147,231,8,181,42,123,,473,106,13,10,
5/7/2019,1210,298,36,241,50,381,56,336,85,13,6,20
5/8/2019,721,229,26,154,39,347,111,344,100,26,17,8
5/9/2019,1554,249,54,207,24,268,35,275,114,11,12,8
5/10/2019,1251,211,19,124,34,265,104,361,55,10,11,12
5/11/2019,,,,,,199,50,,,,,
5/12/2019,,,,,28,,,,,,,
5/13/2019,1946,237,14,181,29,119,,440,110,11,25,6
5/14/2019,1056,319,46,190,49,312,91,308,72,30,10,12
5/15/2019,1052,334,26,226,35,241,70,369,93,11,15,10
5/16/2019,1054,268,21,148,45,375,65,328,113,18,16,6
5/17/2019,1464,195,29,216,37,350,55,315,92,18,19,9
5/18/2019,,4,,,,144,49,,,,,
5/19/2019,,,,,,,,,,,,
5/20/2019,1897,268,19,153,44,104,,471,98,16,15,10
5/21/2019,1613,253,32,224,56,367,77,408,82,16,21,11
5/22/2019,932,250,41,152,44,345,75,292,92,15,10,12
5/23/2019,1064,315,23,171,54,293,64,363,100,14,14,5
5/24/2019,1469,224,22,159,37,223,76,290,132,9,6,12
5/25/2019,,,,,,206,38,,46,,,
5/26/2019,,,,,,,,,,,,
5/27/2019,,,,,,,,,,,,
5/28/2019,2326,242,20,145,39,111,,441,40,11,16,7
5/29/2019,1398,284,36,206,46,328,79,414,69,14,10,8
5/30/2019,628,264,21,179,9,382,71,311,104,9,12,8
5/31/2019,992,208,52,163,48,312,79,401,109,8,8,10
6/1/2019,,,,,,175,51,,7,,,
6/2/2019,,,,,21,,,,,,,
